;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2018-02-09, 08:21:42.830
;Temperature, -999.00, deg C,  Vbat, 4222, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
4.915435,-100,-165,-13190
4.931060,-115,-165,-13161
4.946685,-72,-163,-13142
4.962310,-88,-186,-13211
4.977935,-106,-233,-13238
4.993560,-49,-218,-13236
5.009185,-67,-183,-13233
5.024810,-97,-167,-13178
5.040435,-75,-138,-13149
5.056060,-90,-154,-13176
5.071685,-102,-188,-13185
5.087188,-72,-192,-13215
5.102813,-81,-217,-13253
5.118438,-117,-224,-13228
5.134063,-93,-179,-13186
5.149688,-88,-149,-13144
5.165313,-111,-142,-13140
5.180938,-117,-145,-13178
5.196563,-120,-184,-13204
5.212188,-102,-233,-13253
5.227813,-67,-242,-13294
5.243438,-56,-206,-13261
5.259063,-70,-172,-13172
5.274688,-52,-158,-13072
5.290313,-40,-147,-13026
5.305938,-67,-161,-13117
5.321563,-97,-197,-13274
5.337188,-120,-224,-13331
5.352813,-118,-242,-13299
5.368438,-106,-243,-13238
5.384063,-93,-181,-13126
5.399688,-74,-136,-13065
5.415313,-68,-163,-13160
5.430938,-104,-186,-13199
5.446563,41,-300,-13249
5.462188,296,-445,-13386
5.477813,319,-424,-13228
5.493438,342,-367,-13040
5.509063,374,-383,-13013
5.524688,324,-424,-13044
5.540313,319,-475,-13238
5.555938,267,-534,-13428
5.571563,219,-565,-13467
5.587188,280,-531,-13328
5.602813,351,-484,-13160
5.618438,348,-434,-13026
5.634063,367,-399,-12938
5.649688,374,-442,-13056
5.665313,337,-520,-13245
5.680938,326,-583,-13329
5.696563,282,-615,-13354
5.712188,233,-608,-13329
5.727813,271,-565,-13229
5.743438,319,-493,-13119
5.759063,291,-467,-13061
5.774688,271,-509,-13072
5.790313,310,-570,-13101
5.805938,307,-636,-13222
5.821563,241,-677,-13349
5.837188,192,-675,-13319
5.852813,214,-688,-13270
5.868438,248,-690,-13211
5.884063,299,-656,-13144
5.899688,296,-647,-13138
5.915313,201,-658,-13167
5.930938,258,-684,-13178
5.946563,328,-727,-13128
5.962188,267,-777,-13194
5.977813,235,-824,-13285
5.993438,187,-824,-13228
6.009063,137,-818,-13208
6.024688,142,-868,-13226
6.040313,153,-909,-13190
6.055938,182,-915,-13194
6.071563,142,-924,-13217
6.087188,112,-922,-13203
6.102813,191,-924,-13183
6.118438,160,-936,-13178
6.134063,137,-952,-13176
6.149688,149,-1006,-13176
6.165313,91,-1049,-13228
6.180938,114,-1083,-13204
6.196563,126,-1136,-13165
6.212188,74,-1165,-13179
6.227813,48,-1206,-13186
6.243438,12,-1261,-13217
6.259063,-6,-1270,-13206
6.274688,-13,-1293,-13224
6.290313,5,-1345,-13245
6.305938,24,-1356,-13213
6.321563,-31,-1354,-13199
6.337188,-40,-1382,-13156
6.352813,-34,-1422,-13117
6.368438,-54,-1461,-13142
6.384063,-58,-1497,-13156
6.399688,-127,-1536,-13179
6.415313,-174,-1590,-13244
6.430938,-188,-1659,-13272
6.446563,-202,-1709,-13256
6.462188,-186,-1727,-13217
6.477813,-215,-1752,-13163
6.493438,-220,-1806,-13135
6.509063,-222,-1847,-13135
6.524688,-267,-1888,-13149
6.540313,-308,-1941,-13185
6.555938,-354,-1973,-13206
6.571563,-390,-2015,-13213
6.587188,-436,-2063,-13192
6.602813,-459,-2104,-13217
6.618438,-452,-2145,-13256
6.634063,-493,-2181,-13217
6.649688,-517,-2232,-13210
6.665313,-518,-2279,-13167
6.680938,-577,-2302,-13106
6.696563,-627,-2357,-13101
6.712188,-663,-2438,-13140
6.727813,-704,-2518,-13228
6.743438,-720,-2616,-13220
6.759063,-763,-2689,-13276
6.774688,-777,-2704,-13326
6.790313,-809,-2722,-13208
6.805938,-861,-2754,-13147
6.821563,-868,-2784,-13085
6.837188,-936,-2859,-12967
6.852813,-1000,-2972,-13054
6.868438,-1038,-3080,-13220
6.884063,-1136,-3200,-13260
6.899688,-1224,-3286,-13365
6.915313,-1295,-3302,-13367
6.930938,-1341,-3314,-13176
6.946563,-1313,-3343,-13140
6.962188,-1313,-3400,-13111
6.977813,-1393,-3513,-13038
6.993438,-1427,-3661,-13142
7.009063,-1454,-3775,-13197
7.024688,-1579,-3830,-13185
7.040313,-1675,-3941,-13210
7.055938,-1738,-4036,-13185
7.071563,-1820,-4125,-13208
7.087310,-1947,-4209,-13213
7.102935,-2054,-4246,-13161
7.118560,-2036,-4412,-13201
7.134185,-2077,-4504,-13222
7.149810,-2223,-4586,-13088
7.165435,-2313,-4709,-13145
7.181060,-2302,-4773,-13240
7.196685,-2522,-4902,-13001
7.212310,-2750,-4920,-13061
7.227935,-2648,-4962,-13390
7.243560,-2725,-5102,-13263
7.259185,-2766,-5227,-13101
7.274810,-2907,-5370,-13083
7.290435,-3105,-5430,-13126
7.306060,-2873,-5539,-13242
7.321685,-3014,-5734,-13085
7.337310,-3280,-5793,-13040
7.352935,-3220,-5882,-13060
7.368560,-3391,-6057,-13101
7.384185,-3502,-6102,-13215
7.399810,-3525,-6191,-13104
7.415435,-3693,-6271,-13320
7.431060,-3711,-6296,-13319
7.446685,-3736,-6535,-12933
7.462310,-3884,-6646,-13115
7.477935,-3946,-6616,-13247
7.493560,-3993,-6796,-13185
7.509185,-4082,-6946,-13228
7.524810,-4075,-7030,-13144
7.540435,-4095,-7144,-13120
7.556060,-4230,-7226,-13122
7.571685,-4239,-7326,-13128
7.587310,-4273,-7428,-13083
7.602935,-4400,-7530,-13072
7.618560,-4429,-7666,-13169
7.634185,-4516,-7739,-13153
7.649810,-4609,-7819,-13172
7.665435,-4634,-7964,-13203
7.681060,-4650,-8046,-13163
7.696685,-4684,-8100,-13144
7.712310,-4784,-8153,-13111
7.727935,-4825,-8228,-13101
7.743560,-4902,-8323,-13051
7.759185,-4989,-8378,-13076
7.774810,-4977,-8473,-13161
7.790435,-5059,-8587,-13138
7.806060,-5130,-8662,-13186
7.821685,-5152,-8744,-13195
7.837310,-5266,-8808,-13079
7.852935,-5289,-8864,-13124
7.868560,-5296,-8917,-13154
7.884185,-5430,-8964,-13026
7.899810,-5503,-9030,-13065
7.915435,-5530,-9103,-13178
7.931060,-5632,-9167,-13140
7.946685,-5725,-9199,-13156
7.962310,-5759,-9226,-13188
7.977935,-5832,-9294,-13070
7.993560,-5918,-9335,-13019
8.009185,-5946,-9373,-13069
8.024810,-6019,-9464,-13083
8.040435,-6094,-9546,-13136
8.056060,-6150,-9599,-13206
8.071685,-6227,-9640,-13172
8.087188,-6285,-9660,-13092
8.102813,-6339,-9678,-13074
8.118438,-6389,-9737,-13056
8.134063,-6455,-9824,-13036
8.149688,-6496,-9912,-13090
8.165313,-6530,-9999,-13124
8.180938,-6598,-10067,-13099
8.196563,-6684,-10110,-13079
8.212188,-6775,-10151,-13053
8.227813,-6809,-10205,-13036
8.243438,-6825,-10267,-13036
8.259063,-6868,-10340,-13069
8.274688,-6900,-10415,-13088
8.290313,-6943,-10490,-13065
8.305938,-7010,-10562,-13086
8.321563,-7069,-10612,-13119
8.337188,-7148,-10656,-13111
8.352813,-7219,-10687,-13147
8.368438,-7244,-10719,-13186
8.384063,-7255,-10755,-13088
8.399688,-7216,-10771,-13047
8.415313,-7191,-10812,-13101
8.430938,-7223,-10872,-13045
8.446563,-7203,-10905,-13022
8.462188,-7232,-10931,-13053
8.477813,-7268,-10981,-13049
8.493438,-7219,-11012,-13074
8.509063,-7271,-11024,-13135
8.524688,-7305,-11060,-13145
8.540313,-7278,-11080,-13101
8.555938,-7305,-11064,-13120
8.571563,-7294,-11067,-13106
8.587188,-7318,-11062,-13022
8.602813,-7325,-11030,-13015
8.618438,-7262,-11042,-13040
8.634063,-7271,-11062,-13051
8.649688,-7280,-11067,-13074
8.665313,-7291,-11060,-13113
8.680938,-7309,-11049,-13110
8.696563,-7312,-11055,-13078
8.712188,-7350,-11030,-13101
8.727813,-7335,-11024,-13110
8.743438,-7330,-11064,-13067
8.759063,-7368,-11035,-13083
8.774688,-7339,-11014,-13115
8.790313,-7378,-11039,-13069
8.805938,-7459,-11006,-13074
8.821563,-7459,-10980,-13051
8.837188,-7484,-11001,-13029
8.852813,-7523,-11028,-13110
8.868438,-7550,-11044,-13133
8.884063,-7578,-11064,-13156
8.899688,-7576,-11085,-13178
8.915313,-7576,-11088,-13092
8.930938,-7626,-11080,-13019
8.946563,-7650,-11074,-13019
8.962188,-7623,-11092,-12978
8.977813,-7648,-11137,-12988
8.993438,-7662,-11188,-13036
9.009063,-7655,-11242,-13063
9.024688,-7698,-11290,-13106
9.040313,-7739,-11330,-13065
9.055938,-7755,-11365,-13042
9.071563,-7800,-11396,-13092
9.087188,-7855,-11422,-13094
9.102813,-7885,-11433,-13149
9.118438,-7910,-11433,-13215
9.134063,-7912,-11431,-13120
9.149688,-7884,-11437,-13070
9.165313,-7855,-11449,-13079
9.180938,-7809,-11467,-12983
9.196563,-7796,-11503,-12981
9.212188,-7821,-11544,-13067
9.227813,-7776,-11574,-13065
9.243438,-7771,-11588,-13094
9.259063,-7817,-11583,-13131
9.274688,-7801,-11571,-13079
9.290313,-7785,-11553,-13054
9.305938,-7769,-11547,-13047
9.321563,-7764,-11528,-13028
9.337188,-7755,-11526,-13060
9.352813,-7721,-11551,-13083
9.368438,-7698,-11531,-13119
9.384063,-7689,-11499,-13094
9.399688,-7694,-11497,-13031
9.415313,-7655,-11467,-13078
9.430938,-7644,-11438,-13040
9.446563,-7678,-11435,-12999
9.462188,-7644,-11417,-13101
